# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 20159 8 16 53 4448448 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.347e65afd1eb.html
DUPTYPE_WITHIN_SAME_TREE -20159 9 16 53 4627793 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.347e65afd1eb.html
DUPTYPE_WITHIN_SAME_TREE -20159 8 16 53 4444390 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -20159 9 16 53 4612130 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.html
DUPTYPE_FIRST_OCCURRENCE 20065 8 19 53 4448381 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 53 4448338 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 53 4444065 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 53 4611911 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 53 4448327 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 53 4611771 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 53 4444171 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 53 4611805 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 8 19 53 4444031 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 53 4627726 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 53 4627683 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -20065 9 19 53 4627672 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_FIRST_OCCURRENCE 12357 5 19 53 4450740 5 /openedx/staticfiles/templates/bulk_email/edx_ace/bulkemail/email/from_name.a98967556ce9.txt
DUPTYPE_WITHIN_SAME_TREE -12357 5 19 53 4438409 5 /openedx/staticfiles/templates/bulk_email/edx_ace/bulkemail/email/from_name.txt
DUPTYPE_FIRST_OCCURRENCE 19987 8 20 53 4448257 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/tabs/8e4cce2b4aaf4ba28b1220804619e41f.0b20f0cff4b9.html
DUPTYPE_WITHIN_SAME_TREE -19987 8 20 53 4443886 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/tabs/8e4cce2b4aaf4ba28b1220804619e41f.html
DUPTYPE_WITHIN_SAME_TREE -19987 8 20 53 4448581 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/tabs/8e4cce2b4aaf4ba28b1220804619e41f.0b20f0cff4b9.html
DUPTYPE_WITHIN_SAME_TREE -19987 9 20 53 4611626 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/tabs/8e4cce2b4aaf4ba28b1220804619e41f.html
DUPTYPE_WITHIN_SAME_TREE -19987 9 20 53 4627602 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/tabs/8e4cce2b4aaf4ba28b1220804619e41f.0b20f0cff4b9.html
DUPTYPE_WITHIN_SAME_TREE -19987 9 20 53 4612279 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/tabs/8e4cce2b4aaf4ba28b1220804619e41f.html
